"Location.Name","HousingDist","CoWork1Dist","CoWork2Dist","CoWork3Dist","CoWork4Dist","CoWork5Dist","type"
"Indy 500",4,9.4,13.8,19.8,7.7,7.1,"sport"
"Talbot Street Art Fair",2.6,4.9,17.7,15.6,1.8,2.5,"art"
"Indianapolis Indians Baseball Game",1.7,7.3,18,22.3,1.3,1,"sport"
"5 Seconds of Summer Concert",1.8,7.4,18.1,22.4,1.3,1.3,"music"
"Indianapolis CyberSecurity Confrence",3.2,3.8,15.7,14.5,3.3,3.2,"conference"
"Gen Con",2.2,7.3,18.5,22.8,1.1,0.8,"gaming"
"Mama Carolla's",7.4,0.2,13.9,12.1,6.7,7.3,"resturant"
"The Jazz Kitchen",7.2,0.4,13.6,12.7,6.4,7,"resturant"
"Twenty Tap",7.2,0.4,13.6,12.4,6.4,7.1,"resturant"
"The Friendly Tavern",17.2,14.2,0.2,19.2,17.6,17.7,"resturant"
"Convivio Italian Artisan Cuisine - Zionsville",17.3,14.3,0.0714,19.4,17.8,17.9,"resturant"
"Delicia",6.9,0.4,13.9,12.4,6.1,6.8,"resturant"
"Diavola",7.6,0.3,14,12,6.8,7.4,"resturant"
"Fat Dan's Deli",7.2,0.4,13.6,12.4,6.4,7.1,"resturant"
"Cobblestone",17.2,14.2,0.1,19.3,17.7,17.8,"resturant"
"Chatham Tap Mass Ave",2.6,5.2,18.2,20.7,1.2,2.1,"resturant"
"IUPUI",0,7.4,18.1,22.4,2.7,2.4,"housing"
